area_fips,industry_code,year,treated,avg_emplvl,post,log_emp
41000,331110,2018,1,885.888888888889,0,6.786591535166276
41000,331110,2019,1,1063.7777777777778,1,6.969581792616235
41000,331523,2015,0,227.1111111111111,0,5.425439373987375
41000,331523,2016,0,188.7777777777778,0,5.2405705443357125
41000,331523,2017,0,177.33333333333334,0,5.1780312006735345
41000,331523,2018,0,203.33333333333334,0,5.314846668499247
41000,331523,2019,0,210.8888888888889,1,5.3513314018336535
42000,331110,2015,1,12449.0,0,9.429395577381786
42000,331110,2016,1,11624.0,0,9.36082720525012
42000,331110,2017,1,11421.0,0,9.343209045050607
42000,331110,2018,1,11788.77777777778,0,9.37490332215075
42000,331110,2019,1,11624.333333333334,1,9.360855881140866
42000,331523,2015,0,1074.5555555555554,0,6.979662418380744
42000,331523,2016,0,973.1111111111112,0,6.880498270025124
42000,331523,2017,0,951.2222222222222,0,6.857747707406266
42000,331523,2018,0,965.3333333333334,0,6.872473464837498
42000,331523,2019,0,958.7777777777777,1,6.865659325172088
44000,331523,2015,0,120.22222222222221,0,4.789341882070207
44000,331523,2016,0,118.44444444444446,0,4.7744440273895705
44000,331523,2017,0,127.55555555555556,0,4.848551999543292
44000,331523,2018,0,138.11111111111111,0,4.9280585141744915
44000,331523,2019,0,124.77777777777777,1,4.826534377402224
45000,331110,2015,1,1404.111111111111,0,7.247159720422461
45000,331110,2016,1,1252.4444444444443,0,7.132852476242297
45000,331110,2017,1,2114.222222222222,0,7.656442280215953
45000,331110,2018,1,2239.3333333333335,0,7.713933481504128
45000,331110,2019,1,2508.3333333333335,1,7.827373800948967
45000,331523,2015,0,307.6666666666667,0,5.729016945834743
45000,331523,2016,0,313.22222222222223,0,5.746912913777893
45000,331523,2017,0,268.8888888888889,0,5.594298241814513
45000,331523,2018,0,241.88888888888889,0,5.488478483898328
45000,331523,2019,0,228.55555555555554,1,5.4317793123167375
47000,331110,2015,1,1504.4444444444443,0,7.316178969130046
47000,331110,2016,1,1484.0,0,7.302496423727326
47000,331110,2017,1,1480.4444444444443,0,7.300097621977351
47000,331110,2018,1,1488.7777777777776,0,7.305710778952388
47000,331110,2019,1,1500.2222222222224,1,7.313368524265597
47000,331523,2015,0,1216.7777777777778,0,7.1039614779395395
47000,331523,2016,0,1327.0,0,7.190676034332207
47000,331523,2017,0,1412.888888888889,0,7.253391744694474
47000,331523,2018,0,1492.5555555555554,0,7.308245067726793
47000,331523,2019,0,1579.2222222222224,1,7.364687740402792
48000,331110,2015,1,5316.666666666667,0,8.57860181954488
48000,331110,2016,1,4717.0,0,8.458928283284262
48000,331110,2017,1,4711.666666666667,0,8.45779698145958
48000,331110,2018,1,4933.222222222223,0,8.503747648307938
48000,331110,2019,1,4939.555555555556,1,8.505030637623538
48000,331523,2015,0,597.7777777777777,0,6.39321907581961
48000,331523,2016,0,574.5555555555555,0,6.353596795060002
48000,331523,2017,0,556.3333333333334,0,6.321367634993726
48000,331523,2018,0,593.0,0,6.385194398997726
48000,331523,2019,0,519.8888888888888,1,6.253615113529997
49000,331110,2017,1,163.66666666666666,0,5.097831839126411
49000,331110,2018,1,168.0,0,5.123963979403259
49000,331110,2019,1,171.0,1,5.14166355650266
51000,331110,2015,1,1026.111111111111,0,6.933531315297121
51000,331110,2016,1,976.0,0,6.883462586413092
51000,331110,2017,1,936.8888888888888,0,6.842564693444924
51000,331110,2018,1,932.4444444444443,0,6.837809572739913
51000,331110,2019,1,974.6666666666666,1,6.88209553220156
51000,331523,2016,0,960.4444444444445,0,6.867396140290557
51000,331523,2017,0,947.4444444444443,0,6.85376830140583
51000,331523,2018,0,816.5555555555557,0,6.705094951192652
51000,331523,2019,0,506.0,1,6.226536669287466
53000,331110,2015,1,11.777777777777777,0,2.466214516775848
53000,331110,2016,1,35.0,0,3.5553480614894135
53000,331110,2017,1,85.1111111111111,0,4.443957592404372
53000,331110,2018,1,99.1111111111111,0,4.59624155524379
53000,331110,2019,1,154.77777777777777,1,5.041990396443587
54000,331110,2015,1,1950.6666666666667,0,7.575926473471905
54000,331110,2016,1,1859.6666666666667,0,7.528152539177419
54000,331110,2017,1,1861.4444444444443,0,7.529108048357313
54000,331110,2018,1,1885.111111111111,0,7.54174204303146
54000,331110,2019,1,1838.0,1,7.516433302915632
55000,331110,2015,1,264.22222222222223,0,5.576790499914508
55000,331110,2016,1,251.33333333333334,0,5.526780079339846
55000,331110,2017,1,253.7777777777778,0,5.536458993439681
55000,331110,2018,1,269.5555555555556,0,5.5967745121677765
55000,331110,2019,1,265.77777777777777,1,5.582660537734303
55000,331523,2015,0,2713.3333333333335,0,7.905933170328477
55000,331523,2016,0,2887.8888888888887,0,7.968281025896174
55000,331523,2017,0,2845.444444444444,0,7.953474553847819
55000,331523,2018,0,2889.8888888888887,0,7.968973333616133
55000,331523,2019,0,2735.3333333333335,1,7.914008584334022
72000,331110,2015,1,169.11111111111111,0,5.1305559610854115
72000,331110,2016,1,163.55555555555557,0,5.097152721952602
72000,331110,2017,1,140.11111111111111,0,4.9424357586287
72000,331110,2018,1,140.44444444444443,0,4.944811997370583
72000,331110,2019,1,238.66666666666666,1,5.475067878292536
